Type,ID,Points,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,Explanation
MC,635079,"","
<p>What output will the following code fragment produce?</p>
<pre lang=""text/x-java"">public void fn()
{
    int grade = 91;
    int level = -1;
    if (grade &gt;= 90)
        if (level &lt;= -2)
            System.out.println(""A-level"");
    else
        System.out.println(""B-status"");
}
</pre>
",B,<p>A-level</p>,<p>B-status</p>,"<p>""A-level""</p>","<p>""B-status""</p>",<p>no output is produced</p>,"","","","","","<p>Despite the indentation, no braces appear around the body of either if statement's branch(es). As a result, the else is associated with the second (inner) if. Since the outer if statement's condition is true, but the inner if statement's condition is false, the output is <code>B-status</code>.</p>"
MC,633676,"","
<p>Suppose you want to write a Python function that takes a list as a parameter and returns True if there are no instances of 3 immediately followed by a 4, and False otherwise.</p>
<p>So this list returns True: [ 3 5 4 ]</p>
<p>But this list returns false: [ 1 2 3 4 5 ].</p>
<p>The following code has a bug in it.&nbsp; Which line contains the bug?</p>
<pre lang=""text/x-python"">def no34(nums):
  for i in range(len(nums)):               #line1
    if nums[i]==3 and nums[i+1]==4:        #line2
      return False                         #line3
  return True                              #line4
</pre>
",A,<p>line1</p>,<p>line2</p>,<p>line3</p>,<p>line4</p>,,"","","","","","
<p>This will go over the edge of the list!&nbsp; Line1 should be:</p>
<code>for i in range(len(nums)<strong>-1</strong>):</code>
"
MC,633673,"","
<p>Suppose you want to write a Python function that takes a list as a parameter and returns true if there are <em>no</em> instances of 3 immediately followed by a 4, and false otherwise.&nbsp; So this list returns True:&nbsp; [ 3 5 4 ]&nbsp; But this list returns false: [ 1 2 3 4 5 ].</p>
<pre lang=""text/x-python"">def no34(nums):
  for i in range(len(nums)-1):
    if nums[i]==3 and nums[i+1]==4:
      return False        #line1
    else:
      return True         #line2
  return False            #line3 
</pre>
<p>&nbsp;</p>
<p>What changes, if any, should be made to make this code correct</p>
",C,<p>No changes are necessary; it is correct as written</p>,<p>switch line1 and line2 (i.e return True for line1 and return False for line 2)</p>,<p>delete line2 (take the else statement with it)</p>,"
<p>switch line1 and line2 (i.e return True for line1 and return False for line 2)</p>
<p>and</p>
<p>delete line2 (take the else statement with it)</p>
","
<p>switch line2 and line3 (i.e return False for line2 and return True for line3)</p>
","","","","","","<p>The else clause should be removed.&nbsp; If we don't see a 3-4, we can't conclude anything about the rest of the list.</p>"
MC,635080,"","
<p>Consider this code segment:</p>
<pre lang=""text/x-java"">boolean x = false;
boolean y = true;
boolean z = true;
System.out.println( (!x || y &amp;&amp; !z) );
</pre>
<p>&nbsp;</p>
<p>What value is printed?</p>
",A,<p>true</p>,<p>false</p>,"<p>nothing, there is a syntax error</p>",,,"","","","","","<p>Since <code>x</code> is false, <code>!x</code> is true, forcing the entire expression to be true because of the <code>||</code> operator. &nbsp;Remember that <code>&amp;&amp;</code> has higher precedence than <code>||</code> for grouping.</p>"
MC,635111,"","
<p>Determine if Java would evaluate the following boolean expression as true or false, or if there is something (syntactically) wrong with the expression:</p>
<code>(!x &amp;&amp; !y) &amp;&amp; (y &amp;&amp; z)</code>
",B,<p>true</p>,<p>false</p>,<p>syntax error</p>,,,"","","","","","<p>Consider the value of variable <code>y</code>, which appears in the expression twice. &nbsp;If <code>y</code> is false, the right subexpression must also be false, so the overall expression will be false, because of the semantics of <code>&amp;&amp;</code>. Alternatively, if&nbsp;<code>y</code>&nbsp;is true, the left subexpression must be false because of its inclusion of <code>!y</code>, which also causes the overall expression to be false.<code><span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;</span></code></p>"
MC,635112,"","
<p>Consider this code segment:</p>
<pre lang=""text/x-java"">boolean x = false;
boolean y = true;
boolean z = true;
System.out.println( (x &amp;&amp; !y || z) );
</pre>
<p>&nbsp;</p>
<p>What value is printed?</p>
",A,<p>true</p>,<p>false</p>,"<p>nothing, there is a syntax error</p>",,,"","","","","","<p>Although <code>x</code> is false, and <code>!y</code> is also false, making <code>x &amp;&amp; !y</code> evaluate to false, the variable <code>z</code> is true, so the overall expression is true because of the <code>||</code> operator. &nbsp;Remember that <code>||</code> has lower precedence than <code>&amp;&amp;</code> in boolean expressions.</p>"
MC,635114,"","
<p>Suppose you have an array of seven <code>int</code> values called <code>test</code> containing the following data:</p>
<p><img src=""img/28.png"" alt=""no description""></p>
<p>Trace the execution of the following code:</p>
<pre lang=""text/x-java"">int x = 0;
int y = 0;
for (int i = 0; i &lt; test.length; i++)
{
    if (test[i] % 6 == 0)
    {
        x++;
        y += i;
    }
}
</pre>
<p>&nbsp;</p>
<p>What is the value of <code>x</code> when this loop is done?</p>
",D,<p>0</p>,<p>3</p>,<p>4</p>,<p>5</p>,<p>7</p>,"","","","","","<p>The variable <code>x</code> is incremented for each value in the array that is evenly divisible by 6, so the final value of <code>x</code> after the loop is 5.</p>"
MC,635129,"","
<p>Assume that an object of the following class has just been created:</p>
<pre lang=""text/x-java"">public class Unknown
{
    private int x;

    public Unknown()
    {
        x = 17;
        method1();
        method2(5);
        method3();
        System.out.println(x);      // Line D
    }

    public void method1()
    {
        --x;
        int x = this.x;
        x++;
        System.out.println(this.x); // Line A
    }

    public void method2(int x)
    {
        x++;
        System.out.println(x);      // Line B
    }

    public void method3()
    {
        --x;
        int x = 2;
        x++;
        System.out.println(x);      // Line C
    }
}
</pre>
<p>&nbsp;</p>
<p>What output is produced by <strong>Line D</strong> when an instance of this class is created?</p>
",C,<p>2</p>,<p>3</p>,<p>15</p>,<p>16</p>,<p>17</p>,"","","","","","<p>Line D prints the value of the field called <code>x</code>. &nbsp;That field is initialized to 17 in the constructor, and then decremented on the first line of <code>method1()</code>, and decremented again on the first line of <code>method3()</code>, so by the time execution reaches the <code>println()</code> method call at the end of the constructor, the value printed is 15.</p>"
MC,634421,"",<p>Dummy question: all block-model tags</p>,A,<p>blah</p>,<p>blah</p>,<p>blah</p>,,,"","","","","",<p>This class has all the block-model tags checked and no others. It should produce a list of all block-model tags with the questions associated with each tag. (Note: the delimiter tags are included in case of errors).&nbsp;</p>
MC,634949,"","
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 4 so that the code operates correctly.</span></p>
",D,<code>dictionary.find(word)</code>,<code>dictionary[counter]</code>,<code>dictionary[word]</code>,<code>dictionary.get(counter)</code>,<code>dictionary.contains(word)</code>,"","","","","","<p>The loop in <code>spelledCorrectly()</code> checks each word in the list called <code>dictionary</code> for the specified word, using <code>counter</code> to traverse through all positions in the list. &nbsp;To retrieve a single word at the given position, use the expression <code>dictionary.get(counter)</code>.</p>"
MC,634950,"","
<p>The following class definitions illustrates which important object-oriented programming concept?</p>
<p>class Animal:<br>&nbsp; &nbsp; def __init__(self, name): # Constructor of the class<br>&nbsp; &nbsp; &nbsp; &nbsp; self.name = name<br>&nbsp; &nbsp; def talk(self): # Abstract method, defined by convention only<br>&nbsp; &nbsp; &nbsp; &nbsp; raise NotImplementedError(""Subclass must implement abstract method"")</p>
<p>class Cat(Animal):<br>&nbsp; &nbsp; def talk(self):<br>&nbsp; &nbsp; &nbsp; &nbsp; return 'Meow!'</p>
<p>class Dog(Animal):<br>&nbsp; &nbsp; def talk(self):<br>&nbsp; &nbsp; &nbsp; &nbsp; return 'Woof! Woof!'</p>
",A,<p>Polymorphism</p>,<p>Inheritance</p>,<p>Responsibility driven design</p>,<p>Tight/strong cohesion and loose coupling</p>,<p>None of the above.</p>,"","","","","","
<p>This is the classic example of polymorphism. &nbsp;Consider the following code:</p>
<p>animals = [Cat('Missy'),&nbsp;Dog('Lassie')]</p>
<p>for animal in animals:<br>&nbsp; &nbsp; print(animal.name + ': ' + animal.talk())</p>
<p>&nbsp;</p>
<p># prints the following:<br># Missy: Meow!<br># Lassie: Woof! Woof!</p>
"
MC,634953,"",<p>Which of the following is the best definition of an algorithm?</p>,B,<p>A well-ordered collection of unambiguous and effectively computable operations that when executed produces a result and halts in a reasonably short amount of time.</p>,<p>A well-ordered&nbsp;collection of unambiguous and effectively computable operations that when&nbsp;executed produces a result and halts in a finite amount of time.</p>,<p>A collection of unambiguous and effectively computable operations that when executed produces a result and halts in a finite amount of time.</p>,<p>A well-ordered collection of unambiguous and effectively computable operations that when executed produces a result.</p>,<p>A well-ordered collection of unambiguous and effectively computable operations.</p>,"","","","","","<p>Option B provides the best definition. &nbsp;A key component is that in order to be an algorithm, it must eventually halt.</p>"
MC,634170,"","
<p>Consider the code:<br><code>strcpy(str1, ""abc"");</code></p>
<code>strcat(str1, ""def"");</code><p><br>What is the value of str1?</p>
",C,<p>abc</p>,<p>def</p>,<p>abcdef</p>,<p>defabc</p>,,"","","","","",<p>def is concatenated onto the end of abc</p>
MC,634169,"","
<p>Gianluca wants to sort the array array, which has a length of length. He writes the following C code to do this. Which sorting algorithm has he implemented?</p>
<p><br><code>void sort_array(int *array, int length)</code></p>
<pre lang=""text/x-c"">{
   int max, i, temp;
   while(length &gt; 0)
   {
       max = 0;
       for(i = 1; i &lt; length; i++)
           if(array[i] &gt; array[max])
                max = i;
       temp = array[length-1];
       array[length-1] = array[max];
       array[max] = temp;
       length--;
   }
}
</pre>
",B,<p>Insertion sort</p>,<p>Selection sort</p>,<p>Bubble sort</p>,<p>Mergesort</p>,,"","","","","",<p>Students should take note that this code is looking for the max elements over and over again.</p>
MC,634954,"",<p>The worst-case time complexity of insertion sort is:</p>,D,<p>O(1)</p>,<p>O(n)</p>,<p>O(n log n)</p>,<p>O(n<sup>2</sup>)</p>,<p>none of the above</p>,"","","","","","<p>Consider the case where the data are in reverse order. You will need to compare element 2 with element 1 and swap them; then compare element 3 with elements 1 and 2, shift elements 1 and 2 over, and insert element 3 in the first position, and so on. Each element will be compared with all of the elements before it, resulting in a total of n(n-1)/2 comparisons.&nbsp;</p>"
MC,634957,"","<p>Bryon has dynamically allocated memory for an array named arr using malloc. Once he&rsquo;s<br>done using arr in his program, what single line of code should he write to free the block of<br>memory that arr points to?</p>",A,<p>free(arr);</p>,<p>free(*arr);</p>,<p>free(&amp;arr);</p>,<p>dealloc(arr);</p>,<p>dealloc(*arr);</p>,"","","","","",<p>it's free(arr)</p>
MC,634155,"","
<p>Gisele has written a method, <code>tabulate</code>:</p>
<p><br><code>double tabulate(double (*fun)(double), double x)</code></p>
<pre lang=""text/x-c"">{
    return (*fun)(x);
}
</pre>
<p>&nbsp;</p>
<p>Write a single line of code that will call<code>tabulate</code> and return sin(1.0).</p>
",B,<p>tabulate(sin(1.0);</p>,"<p>tabulate(sin, 1.0);</p>","<p>tabulate(sin(1.0), 1.0);</p>",,,"","","","","",<p>Only sin need be provided for the first parameter.</p>
MC,634961,"","
<p>Which of the following makes an appropriate pre-condition for this code?</p>
<pre lang=""text/x-c"">double calculate_percentage(double sum, double n)
{
   // calculates and returns a percentage given a sum and a length (n)
   // &lt;missing pre-condition&gt;
   // POST: none
   return (sum / n) * 100;
}
</pre>
",B,<p>PRE: sum &lt; 100</p>,<p>PRE: n != 0</p>,<p>PRE: sum != NULL and n != NULL</p>,<p>PRE: none</p>,,"","","","","",<p>Want to avoid the divide by 0</p>
MC,634962,"","
<p><img src=""img/29.png"" alt=""no description""></p>
<p>Given the above binary tree rooted at Node A, what is the order of nodes visited by a preorder search?</p>
",B,"<p>A, B, C, D, E, F, G</p>","<p>A, B, D, E, C, F, G</p>","<p>D, B, E, A, F, C, G</p>","<p>D, E, B, F, G, C, A</p>","<p>G, F, E, D, C, B, A</p>","","","","","","
<p>A preorder search of a tree is:&nbsp; visit the root, visit the left subtree, visit the right subtree.</p>
<p>It procedes as</p>
<p>Visit A</p>
<p>Visit left subtree:&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit B (its root)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit D</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit E</p>
<p>Visit right subtree:</p>
<p>&nbsp;&nbsp;&nbsp; Visit C (its root)</p>
<p>&nbsp;&nbsp;&nbsp; Visit its left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit F</p>
<p>&nbsp;&nbsp;&nbsp; Visit its right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit G</p>
<p>The order of nodes visited corresponds to answer B</p>
"
MC,634150,"","
<p>Junyoung runs the program after compiling with <code>gcc print random number.c -Wall</code>:</p>
<p><br><code>#include&lt;stdlib.h&gt;</code></p>
<pre lang=""text/x-c"">int main()
{
   int x = rand();
   printf(""%d\n"", x);
}
</pre>
<p><br>What is <strong>not</strong> true about it?</p>
",C,<p>GCC will give a warning since stdio.h was not included</p>,<p>GCC will give a warning since <code>main</code> does not return an <code>int</code></p>,<p>It will print a different number every time</p>,<p>It will only need four bytes of stack space</p>,,"","","","","",<p>Rand was not seeded.</p>
MC,634148,"","
<p>Fill in the incomplete line of code so this recursively prints the contents of the array <code>arr</code>:</p>
<p><br><code>void print_array(int *arr, int length)</code></p>
<pre lang=""text/x-c"">{
   if(length &gt; 0)
   {
      printf(""%d\n"", *arr);
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; print_array(arr + 1, <strong>____________ </strong></code><code>);</code></p>
<pre lang=""text/x-c"">   }
}
</pre>
",B,"<p>print_array(arr + 1, 0);</p>","<p>print_array(arr + 1, length - 1);</p>","<p>print_array(arr + 1, ++length);</p>","<p>print_array(arr + 1, length);</p>",,"","","","","",<p>Note the base case requires the length to be decreasing.</p>
MC,634964,"","
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 9 so that the code operates correctly.</span></p>
",D,<code>dictionary.set(word)</code>,"<code>dictionary.put(counter, word)</code>","<code>dictionary.set(dictionary.length, word)</code>",<code>dictionary.add(word)</code>,<code>dictionary[dictionary.size()] = word</code>,"","","","","",<p>Use the <code>add()</code> method to add a new value to the end of a <code>List</code>.</p>
MC,634175,"","<p>Seray is hashing the values 6, 96, 33, 77 into a hash table of size 10. Which hash function will give her no collisions?</p>",C,<p>h(k) = k % 10</p>,<p>h(k) = k / 10</p>,<p>h(k) = (k % 10) + (k / 10)</p>,<p>h(k) = (k % 10) - (k / 10)</p>,,"","","","","",<p>A collides on 9/96; B does not collide; C collides on 6/33; D collides on 33/77.</p>
MC,634177,"","<p>What does <code>atoi(""hello"")</code> return?</p>",A,<p>0</p>,<p>-1</p>,<p>hello</p>,<p>e</p>,,"","","","","",<p>it wil be 0</p>
MC,634913,"","<p>In a hashtable that uses separate chaining to handle collisions, what, if any, restrictions should be placed on the table size?</p>",B,"<p>Any number is fine, as the linear probing is guaranteed to find an element.</p>","<p>Any number is fine, since probing is irrelevant.</p>","<p>It should be a prime number, to ensure that in probing we will test each node.</p>","<p>It should be an odd number, to ensure that there's always a middle element.</p>",,"","","","","","<p>With separate chaining, no probing is done. Each entry in the table is a linked list, and all items with the hash index appear in the list.</p>"
MC,634915,"","
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


<span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 9.
</span></pre>
",D,<code>fib2 - fib1</code>,<code>fib1 + fibn</code>,<code>fibn + fib2</code>,<code>fib1 + fib2</code>,<code>fib2</code>,"","","","","","<p>As described in the first part of the question, each term in the sequence is the sum of the previous two terms, so <code>fibn = fib1 + fib2</code>.</p>"
MC,634193,"","
<p>Which of the following is most appropriate as the missing post-condition?</p>
<p><br><code>void move_north_east(int *x, int *y)</code></p>
<pre lang=""text/x-c"">{
    // Moves a robot north-east in our coordinate system
    // by one step north and one step east
    // PRE: x != NULL, y != NULL
    // &lt;missing post-condition&gt;
    (*x)++;
    (*y)++;
}
</pre>
",C,"<p>POST: x != NULL, y != NULL</p>",<p>POST: x is incremented; y is incremented</p>,<p>POST: x&rsquo;s pointee is incremented; y&rsquo;s pointee is incremented</p>,<p>POST: none</p>,,"","","","","","<p>what x to points to is being updated, not x itself</p>"
MC,634920,"","
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


</pre>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 10.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;</span></p>
",B,<code>fib1</code>,<code>fib2</code>,<code>fibn</code>,<code>fib1 + fib2</code>,<code>fibn - fib2</code>,"","","","","","<p>Since each term in the sequence is formed by adding together the previous two terms, the local variables <code>fib1</code> and <code>fib2</code> are used to store the previous two terms for recall in computing the next value in the sequence. &nbsp;After computing the next term in the sequence, the loop moves the value of <code>fib2</code> into <code>fib1</code>, and the value of <code>fibn</code> into <code>fib2</code>, so that the previous two terms are ready for use in the next loop iteration.</p>"
MC,634190,"","
<p>Dhruv has some recursive code that contains the base case <code>if(left &gt; right)</code></p>
<p><br>Which algorithm is he <em>most</em> likely to be implementing?</p>
",C,<p>heapsort</p>,<p>insertion sort</p>,<p>quicksort</p>,<p>Fibonacci</p>,,"","","","","",<p>Only quicksort is usually implemented with such a base case.</p>
MC,634924,"","
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


</pre>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 11.</span></p>
",C,<code>fib1</code>,<code>fib2</code>,<code>fibn</code>,<code>fib1 + fib2</code>,<code>fibn - fib1</code>,"","","","","","<p>Since each term in the sequence is formed by adding together the previous two terms, the local variables <code>fib1</code> and <code>fib2</code> are used to store the previous two terms for recall in computing the next value in the sequence. &nbsp;After computing the next term in the sequence, the loop moves the value of <code>fib2</code> into <code>fib1</code>, and the value of <code>fibn</code> into <code>fib2</code>, so that the previous two terms are ready for use in the next loop iteration.</p>"
MC,634926,"","
<p>Polymorphism is used when different classes we are modeling can do the same thing (i.e. respond to the same method calls), and we don't know which class an object will be at compile time. In Java, this can be implemented using either inheritance or interfaces.</p>
<p>Choose the best reason below for choosing inheritance polymorphism</p>
",B,<p>There is no defined interface that works for all of the classes that I want to allow</p>,<p>The classes are closely related in the inheritance hierarchy;</p>,<p>The classes are in the same containment hierarchy</p>,<p>It is the kind of polymorphism that I understand the best</p>,,"","","","","","<p>If the classes are closely related in the inheritance hierarchy it should be possible to have the shared methods in some common superclass, which is close.</p>"
MC,634927,"","
<p><span style=""font-family: arial, helvetica, sans-serif;"">Given the following Java code:</span></p>
<pre lang=""text/x-java"">if (x &gt;= 0) {
   System.out.println(""1"");
} else if (x &lt; 20) {
   System.out.println(""2"");
} else {
   System.out.println(""3"");
}
System.out.println(""4"");
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">For what integer values of <code>x</code> will 1 be among the values printed?</span></p>
",B,<p>x &lt; 0</p>,<p>x &gt;= 0</p>,<p>x &gt;= 20</p>,<p>All values of x</p>,<p>None of the above.</p>,"","","","","","<p>The first branch of the conditional statement will print ""1"" for any x value greater than or equal to 0.</p>"
MC,634928,"","<p>You are looking for a method getSequence(int n, char c) that returns a String of n characters c. Which of the following will not meet your needs?</p>",C,"<pre lang=""text/x-java"">String getSequence(int n, char c) {
  String s = """";
  for (int i = 0; i &lt; n; ++i) {
    s = s + c;
  }
  return s;
}
</pre>","<pre lang=""text/x-java"">String getSequence(int n, char c) {
  String s = """";
  while (n &gt; 0) {
    s += c;
  }
  return s;
}
</pre>","<pre lang=""text/x-java"">String getSequence(int n, char c) {
  return n * c;
}
</pre>","<pre lang=""text/x-java"">String getSequence(int n, char c) {
  String s = """";
  for (int i = 1; i &lt;= n; ++i) {
    s += c;
  }
  return s;
}
</pre>","<pre lang=""text/x-java"">String getSequence(int n, char c) {
  if (n == 0) {
    return """";
  } else {
    return c + getSequence(n - 1, c);
  }
}
</pre>","","","","","","<p>A char multiplied by an int produces an int, not a String. Example C doesn't even compile.</p>"
MC,634937,"","
<pre lang=""text/x-java"">public class RecursiveMath
   ...
   public int fib (int a) {
      if (a &lt; 2)
         return a;
      else
         return fib(a-1) + fib(a-2); 
   }
   ...
}
</pre>
<p>&nbsp;</p>
<p>Given the above definition, what is the result of executing the following?</p>
<pre lang=""text/x-java"">RecursiveMath bill = new RecursiveMath();
int x = bill.fib(-1);
</pre>
",A,<p>x is set to -1</p>,<p>x is set to undefined</p>,<p>The code does not terminate</p>,"<p>The code cannot be executed, because it won't compile</p>",<p>None of the above</p>,"","","","","","<p>Since fib is called with parameter of -1, a gets bound to -1.&nbsp;&nbsp; Since a &lt; 2, the method returns the value of a, -1.</p>"
MC,634941,"","
<pre lang=""text/x-java"">public class RecursiveMath
   ...
   public int fib (int a) {
      if (a &lt; 2)
         return a;
      else
         return fib(a-1) + fib(a-2); 
   }
...
}
</pre>
<p>&nbsp;</p>
<p>What is the base case for <code>fib</code> in the above definition?</p>
",C,<p>a</p>,<code>fib(a-1) + fib(a-2);</code>,<p><code>fib(a)</code> for <code>a &lt; 2</code></p>,<p><code>fib(a)</code> for <code>a ≥ 2</code></p>,<p>None of the above</p>,"","","","","","<p>The base case is the version of the problem that can be solved directly, i.e. without a recursive call.</p>"
MC,634942,"","
<p>What is the difference between</p>
<p><br><code>struct node* linked_list_node = malloc(sizeof(struct node));</code></p>
<pre lang=""text/x-c"">linked_list_node-&gt;val = 3;
linked_list_node-&gt;next = NULL;
</pre>
<p>&nbsp;</p>
<p>and:</p>
<p><br><code>struct node linked_list_node;</code></p>
<pre lang=""text/x-c"">linked_list_node.val = 3;
linked_list_node.next = NULL;
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">?</span></p>
",B,<p>The first needs more memory than the second</p>,<p>The first&rsquo;s node is stored on the heap; the second&rsquo;s is stored on the stack</p>,<p>The second is globally-accessible in the program; the first is locally accessible</p>,<p>There is no difference</p>,,"","","","","",<p>Dynamic alloc goes on heap; static goes on stack.</p>
MC,634943,"","
<p>Consider the code</p>
<p><br><code>struct capacitor{</code></p>
<pre lang=""text/x-c"">    double capacitance;
};
</pre>
<p>&nbsp;</p>
<p>If given the variable struct capacitor *cap, which of the following will NOT print the address of cap&rsquo;s capacitance?</p>
",B,"<p>printf(""%p\n"", cap )</p>","<p>printf(""%p\n"", &amp;(cap.capacitance) )</p>","<p>printf(""%p\n"", &amp;((*cap).capacitance) )</p>","<p>printf(""%p\n"", &amp;(cap-&gt;capacitance) )</p>",,"","","","","",<p>C and D are equivalent; A is equivalent to them as capacitance is the first thing stored in the struct.</p>
MC,634965,"","
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 3 so that the code operates correctly.</span></p>
",A,<code>dictionary.size()</code>,<code>dictionary.length()</code>,<code>dictionary.size</code>,<code>dictionary.length</code>,<code>dictionary.get(counter)</code>,"","","","","","<p>The loop in <code>spelledCorrectly()</code> checks each word in the list called <code>dictionary</code> for the specified word, so the upper limit on the loop counter should be <code>dictionary.size()</code>. &nbsp;Remember that lists provide a <code>size()</code> method to retrieve the number of entries (the <code>length()</code> method is used for strings, and <code>length</code> as a field access is used for arrays).</p>"
