Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Santa was trying to mathematically speed up his delivery times, so he made a graph (graph A) where the vertices were houses and two houses had an edge between them if they were on the same street. He also decided to make a graph (graph B) to monitor friendships between his elves so he could best choose which elves would get each other for the factory Secret Santa that year; however, he found it to be nearly pointless, as although he has 1000 elves working for him, almost all of them are friends with each other! In this graph each elf is a vertex and they have an edge drawn between each other if they are friends.To respresent each graph, should Santa use an adjacency matrix or an adjacency list?? Hurry up, he has to start preparing for Christmas 2020 ASAP!!
","Matrix for Graph A, List for Graph B
","Matric for Graph A, Matrix for Graph B
","List for Graph A, List for Graph B
","List for Graph A, Matrix for Graph B
",,"In graph A, there are billions of vertices, each of which is not likely to be connected to more than a hundred others. A matrix would store way too much data, most of which wouldn't be used! An adjacency list would be a much more suitable option.In graph B, almost all vertices are connected, so although a list and a matrix would store a similar amount of data (roughly 1000x1000), a matrix would be much less complicated. The amount of data to store is not too much.
",
"Which of the following algorithms is stable?
","Merge sort
","Heap sort
","Selection sort
","Shell sort
","Quick sort
","A stable algorithm is one where keys of the same value remain in the same order after sorting.
",
"Given the AVL tree:When the value of 12 is inserted, which rotation is required in order to balance the tree?
","Left rotation
","Left-right rotation
","Right rotation
","Right-left rotation
","No rotation required
","The value of 12 is initially inserted into the tree as the left node of 14, meaning the tree is unbalanced.Then, traversing the tree from the node that was inserted, updating the heights and checking balance factors, it is found at value 11, it is not balanced. Therefore, a rotation of some kind needs to take place.Since the since the right node of 11 has the value on its left, a right rotation must occur. However, once this is complete the tree is still unbalanced, so a left rotation must occur.
",
"The following is code for a Node for a particular ADT. Which ADT is it?class Node{ public Object element; public Node[ ] next; public Node(Object o){ element = o; next = new Node[5]; }}
","Linked List of length 5
","Doubly-Linked List of length 5
","Binary Search Tree of depth 5
","Skip List with 5 lanes
","AVL Tree of depth 5
","In a skip list, there are different lanes; hence the 'next' property is an array of nodes rather than just one node, as the ith node in the array follows from the current node in the ith lane. Binary Search Trees and AVL Trees also point to multiple nodes, but these are commonly programmed as the 'left' and 'right' properties.
",
"Using the hash function h(x) = x%5, insert the elements 31, 60, 7, 46, 73, 82, 9, 57, 23, 92, 28 into an open hash table with slots 0,...,4. Which of the following options shows the third element of the longest list after the insertions?
","82
","28
","57
","46
","None of the above
","Using the method shown in slide 24 of the week 10b hash table powerpoint, the hash table becomes:6031, 467, 82, 57, 9273, 23, 289So the slot corresponding to 2 is the longest and its third element is 57.
",
"What is the�Time complexity� of an algorithm (T(n))?
","The total time taken for the algorithm to finish (using, for example, a stopwatch).
","The time taken for the algorithm to finish excluding stoppage time (e.g. the algorithm being halted due to another process being scheduled).
","The number of instructions used by an algorithm as a function of the size of the input data.
","The average time taken for many hundreds/thousands of runs of the algorithm.
",,"We cannot consider the time complexity to be a set time as there are many factors that must be taken into account such as, how many CPU cores does the processor have, is multi threading enabled, are there any other processes running at this time, what is the clock speed of the processor and much more.We therefore consider time complexity as a function of the size of the input data. This way we can generalize the complexity of the algorithm to all processors and applications and it allows the algorithm to be directly compared to another algorithm.We calculate the time complexity by determiningthe number of elementary operations an algorithm performs.
",
"When considering Big-O notation, if |f(n)| = B|g(n)| ? n = bthen we say that...
","f is of order at most g, writtenf(n) ? O(g(n))
","f is of order at least g, writtenf(n) ? O(g(n))
","planation: So as n gets large, if the function f(n) remains smaller than some function B(g(n)) then we say that f(n) ? O(g(n)) because Big-O is an upper bound, i.e. f(n)will never have order greater than O(g(n)).
","gs: Complexity
",,,"tristan (tr548)
"
"In which case are all of the following sorting algorithms stable?
","Shell sort, insertion sort, bubble sort
","Heap sort, merge sort, quick sort
","Shell sort, quick sort, insertion sort
","Selection sort, insertion sort, bubble sort
",,"see slide 5 of week 7(a) powerpoint
",
"What does it mean for an algorithm X to be asymptotically more efficient than another algorithm Y
","X is a better choice for all inputs
","X is a better choice for large inputs
","Y is a better choice for large inputs
","X is a better choice for small inputs
",,"definitions of time complexity (for all b>=B)
",
"What is mean by binary trees are identical?
","When the binary trees are structurally identical and have different value in the nodes.
","When the binary trees are structurally identical and have same value in the nodes.
","When the binary trees are structurally different and have different value in the nodes.
","When the binary trees are structurally different and have same value in the nodes.
","All the binary trees are identical.
","Tree 1 Tree 2 10 10 2 4 2 41 5 6 8 1 5 6 8
",
"Choose the correct steps of insertion sorting on the array below: 7 6 2 5 1
","6 7 2 5 12 6 7 5 12 5 6 7 11 2 5 6 7
","2 7 6 5 12 6 7 5 12 5 6 7 11 2 5 6 7
","1 6 7 2 51 2 6 7 51 2 5 6 71 2 5 6 7
","7 6 2 1 57 6 1 2 57 1 2 5 61 2 5 6 7
","6 2 5 1 72 5 1 6 72 1 5 6 71 2 5 6 7
","In insertion sort, it should start sorting with first 2 elements and ignore the rest. After sorted the first 2 elements, focus on the first 3 elements and sort it. Then, continue with the next elements until the last.
","min (mjt65)
"
"Choose the correct steps of insertion sorting on the array below: 7 6 2 5 1
","6 7 2 5 12 6 7 5 12 5 6 7 11 2 5 6 7
","2 7 6 5 12 6 7 5 12 5 6 7 11 2 5 6 7
","1 6 7 2 51 2 6 7 51 2 5 6 71 2 5 6 7
","7 6 2 1 57 6 1 2 57 1 2 5 61 2 5 6 7
","6 2 5 1 72 5 1 6 72 1 5 6 71 2 5 6 7
","In insertion sort, it should start sorting with first 2 elements and ignore the rest. After sorted the first 2 elements, focus on the first 3 elements and sort it. Then, continue with the next elements until the last.
","min (mjt65)
"
"What is the in-order traversal of the tree seen below? 8 / \ 6 9 / \ \ 2 7 15 /1
","8, 6, 9, 2, 7, 15, 1
","8, 6, 2, 1, 7, 9, 15
","1, 2, 6, 7, 8, 15, 9
","1, 2, 7, 6, 15, 9, 8
","None of the above
","A shows level order traversalB shows pre-order traversalC shows in-order traversalD shows post-order traversalSlides: Week7b-Trees1 slides 15, 22, 24 & 26
",
"f(n) = 2, g(n) = 56 log(n), h(n) = 17n log(n)Which of the following statements is correct?
","g is O(f), h is (g), f is (h)
","g is O(f), g is O(h), f is (h)
","g is (f), f is O(g), f is (h)
","f is (g), g is (h), f is O(h)
","None of the above are correct
","Very similar but just different numbers to Q3 of the 2017-18 exam from two years ago.
",
"When creating a new hashtable, why should we create it such that it has a prime number of buckets?I.e. we should only create hashtables w/ a prime number of buckets, for example 2021 buckets rather than 2000.
","Harder for hackers to obtain access to our hashtable
","Ensures fewer collisions and more even distribution of values
","Reduces the load factor of a hashtable
","Guarantees the hashtable will not need to be resized
","Easier for us to encrypt the data in our hashtable
","Using prime numbers ensures fewer collisions and more even distributions. slide 35 Week 10b
",
"What is the experimental time complexity of shell sort?
","
","
","
","
",,"Lecture 11 - Sorting 2, previous year's lecturer's slides. Slide 8 (not on the slide but in the comments).The worst case is n^2, but there is no theoretical average case.
",
"If N = 91, and k 1 mod 72, then mod N.What is the value of ?
","x = 1
","x = N - 1
","x = 14
","x = mod N
","x = mod N
","Rivest�Shamir�Adleman (RSA) Corollary from Lecture 11b.N =pq, where p and q are distinct primes (p=7,q=13)k 1 mod((p-1)(q-1)) = 1 mod(6.12) = 1 mod 72Hence the Corollary states = mod N, so our answer is C) x = 14
",
"Take the input array: [49, 42, 67, 85, 23, 56, 34, 15]. After one iteration of h-sorting (the underlying operation in Shellsort) with h = 4, what is the resulting array?
","[42, 34, 23, 15, 85, 67, 56, 49]
","[23, 42, 34, 15, 49, 56, 67, 85]
","[15, 23, 34, 42, 49, 56, 67, 85]
","[49, 23, 56, 34, 15, 67, 85, 42]
","[49, 42, 23, 56, 34, 15, 67, 85]
","Applying h-sorting as specified in 2019 Week5a PowerPoint Slides 3-6 to the array.
",
"An closed hash table of length 10 is used with hash function h(k)=k%10, and linear probing. After inserting 6 values into an empty hash table, the table is as shown below.012 423 234 345 526 467 3389In what order where the values inserted?
","46, 42, 34, 52, 33, 23
","34, 46, 23, 52, 33, 42
","46, 34, 42, 23, 52, 33
","42, 34, 23, 33, 46, 52
","none of the above
","In the first one the numbers would be ordered in the following way 42 52 34 33 46 23in the second one, they would be ordered as 52 23 34 33 46 42and in the last one, 42 23 34 33 52 46only one that works is CBecause it's a closed hash table, when the key we want to put a number in is full, we have to look for the next empty one
",
"In a weighted, undirected graph if we apply Dijkstra's algorithm and then we add 1 to all the edge weights, does the shortest path remain the same?
","yes
","no
","planation: it depends on the number of nodes in the path. For example:a-b-c-fl-------l (a-f also connected), with a-b=5, b-c=2, c-f=3 and a-f=11the shortest path before adding 1 to all nodes is a-b-c-f (total of 10) but after adding 1 to all nodes it becomes a-f (12<13)
","gs: Applications, Graphs
",,,"cg853 (cg853)
"
"Supposeis the adjacency matrix representing a graph. Which of the following is the matrix representing vertices that areedges apart, whereis a natural number?
","
","
","
","
","
","From 2019 Lecture 17 slides 10 and 11,would tell us the vertices that are 2 edges apart andwould tell us which vertices are 3 edges apart. Thereforetells us the vertices which areedges apart.
",
"You find yourself volunteering at the local library during the holidays to pad out your CV.Each day, people take books from shelves and put them back in the wrong place, out of order.You're asked to ensure that all books are sorted after the library closes each day, but this takesages and you need to get home to revise. You decide to use a sorting algorithm to speed things up.You make the following observations:There are thousands of books in the library but only a small number of them are misplaced each day.People tend to put books back close to where they were taken from.Given these observations, which of the following algorithms would be most efficient?
","Merge sort.
","Selection sort.
","Insertion sort.
","Quick sort.
",,"The important observation is that the books are almost sorted since people put them back close to where they were taken from.The following complexities can be found in Week 7a, slide 5.Merge sort has complexity for all cases. It also requires working space which would make a mess of the library floor.Selection sort has complexity for all cases.Insertion sort has best-case complexity. The best case for insertion sort is when the list is almost sorted, which is one of our observations.Quick sort has complexity for all cases.
",
"What is the best case time complexity for the following code snippet:public static void sort(int[]array) { for(int i = 0; i<array.length-1; i++) { int min = array[I]; int minIndex = I; for(int j = i+1; j<array.length;j++) { if(array[j]<min) { min = array[j]; minIndex = j; } } int temp = array[minIndex]; array[minIndex] = array[I]; array[i] = temp; }}
","O(n2)
","O(n)
","O(n+m)
","O(n*logm)
","O(n*m)
","This code is the sorting algorithm for selection sort. The complexity of selection sort in the best, average and worst case isO(n2).For more information about selection sort: Week 4a-post 2019 slides 6 to 8.
",
"What is the best, average and worst case for a bubble sort?
","Best:T(n)Average:T(n/2)Worst:T(n^2)
","Best: T(n)Average: T(n)Worst: T(n^2)
","Best: T(n)Average: T(n^2)Worst: T(n^2)
","Best: T(n^2)Average: T(n^2)Worst: T(n^2)
",,"Refer to Week 7a slide 5.
",
"Consider the following adjacency matrix representing a directed graph. Using the methods in lecture 17 - Graphs 1, find the nodes that are exactly two edges apart.
","Mary -> CamFred -> TomFred -> JoshTom -> CamJosh -> TomCam -> FredCam -> Josh
","Mary -> JoshMary -> FredFred -> CamFred -> TomTom -> JoshTom -> FredJosh -> CamCam -> JoshCam -> Tom
","Mary -> TomMary -> JoshFred -> FredFred -> JoshFred -> CamTom -> TomTom -> JoshJosh -> FredJosh -> JoshCam -> TomCam -> Cam
","Mary -> JoshMary -> FredMary -> TomFred -> TomTom -> JoshTom -> FredJosh -> TomCam -> JoshCam -> Tom
",,"Refer to lecture 17 - Graphs 1 Slide 11. You have to multiply the matrix by itself to find the adjacency matrix representing all nodes exactly two edges apart. Then, translate the matrix to the appropriate nodes. Answer A is the same graph as before. Answer C is nodes exactly three edges apart. Answer D is random nodes.
",
"Below this paragraph is a diagram of tree; A / \ B C / \D EConsidering with the list of values, describe how 'Post-order' search / traversal is done by showing what the output would be for this search / traversal method:
","A, B, D, E, C
","D, B, E, A, C
","D, E, B, C, A
","D, E, B, A, C
","D, B, E, C, A
","D, E, B, C, A - This is 'Post order' traversalD, B, E, A, C - This is 'In order' traversalA, B, D, E, C - This is 'Pre order' traversalD,E,B,A,C and D,B,E,C,A are not any form of searching or traversal!
",
"Regarding Hash Tables, which of the followingstatements is false?
","The efficiency of a hash table can depend upon the type, how full the table is and how many collisions you have in the table
","It takes on averageO(1) for the following operations to be performed in an Hash Table; inserting, finding and remove elements (If the load factor is limited)
","Open Hash Tableshandle collisions by inserting objects to the next sequentially available index.
","Hash Tables need to be sized in accordance to limit the load factor
","None of the above
","It takes on average O(1) for all operations to be performed in an Hash Table. It can take O(n) operations, if you were considering the worst case for a Hash Table.Open Hash Tables handles collisions by adding values to the end of the list. Closed Hash Tables handle collisions by inserting objects to the next sequentially available index.Hash Tables need to be sized for the load factor because it is calculated by the number of values you intend to add, divided by the number of buckets in the array.
",
"Consider a list and the operations that can be performed on it. If you wanted to retrieve a value'get' from an index/node in a list, which of the following does not take an average of O(n) operations?
","An Array List
","A Linked List
","Linked List and Array List
","Neither
",,"An Array List does not take O(n) operations on average. This is given to other list structures like aLinked List that can consist of this Big O. On the other hand, anArray List has an average case of O(1) operations.This is apparent as the Array List would simply have to search up the index that is being requested to retrieve the value. Compared to the Linked List, this has to search the index that would contain another index in a node, thus following this path 'n' times to eventually retrieve the value from a node in the list, wherever in the list that may be.
",
"Which of these statements is true of passwords?
","Always store passwords as they are when the user types them.
","Store the hash of a password instead of the password itself.
","When hashing passwords your own version of a hash function is always best to use
","MD5 is a more secure hashing algorithm than SHA-3
",,"A is false because you should never store passwords in clear as it makes it vulnerable to attacks.B is true because storing the hash means even if the database is hacked the hacker can't see the actual password and is very hard to reverse engineerC is false because your own version wont be as secure as the ones that have been tested.D is false as MD5 is an algorithm that was popular in 1990 and has vulnerabilities and SHA-3 is currently the most secure one
",
"What is the best time complexity for sorting a sorted list using selection sort?
","O(n)
","O(Log n)
","O(n2)
","O(1)
","O(n log n)
","Selection sort has worst, best and average time complexity of O(n2) because it runs through the whole list multiple times whether the list is sorted or not
",
"What is the equation to calculate the average number of steps required for Closed hashing.
","= 1/2(1+1/(1-L))
","= 1 + L/2
","planation: for explanation take a look at ""2019 week10b slide 31""
","gs: Hashtables
",,,"mn585 (mn585)
"
"What is the average case time complexity of insertion sort?
","
","
","
","
","
","Best case for insertion sort is, however worst case and average case is.
",
"A company wants to store 10,000 values in a closed hash table using linear probing to find values.To be fast enough, they require values to be found in no more than three steps of linear probing on average.What is the minimum number of buckets that should be used for the closed hash table for this condition to be met?
","10,000 buckets
","12,500 buckets
","15,000 buckets
","17,500 buckets
","20,000 buckets
","We can calculate the average number of steps linear probing will take based on the load factor using this expression: (2019 week 10b, slide 31)Since we know the average number of steps, three, we can rearrange this function to find the required load factor : where n is the average number of steps. Evaluating this gives .The company wants to insert 10,000 values, so we can work out how big the hash table should be using .
",
"Consider a Closed Hash Table with a Fixed size. Which of the following approaches is NOT a viable way of deleting entries?(Sorry CL.)
","Remove the desired elementGo to the next bucketIf the bucket is empty, quitIf the bucket is full, delete the element in that bucket and re-add it to the hash table using the normal means. The item must be removed before re-adding, because it is likely that the item could be added back into its original spot.Repeat step 2.
","Remove the desired elementFill the bucket with a ""Dummy"" element that has a special ""empty"" value.When searching/inserting, skip over this element as if it was a real element.
","Remove the desired elementFlag the empty bucket.When searching, skip over flagged bucketsWhen inserting treat flagged elements like empty buckets and remove flag at the end of insertion
","In the case of removing many items from the hash table.Create a new Hash table with only the elements you wish to keep, ommiting the ones you wish to delete.
",,"In a Fixed size hash table, if you chose the method outlined by B, you will run out of space as spaces will be taken up by the Dummy elements.The sildes in 10b said CL doesn't recommend looking into this but JHD was going to more in Week11. I didn't go to Week 11 and can't see anything about it in the notes. Please let comment if you think it is an irrelevent question. Thanks!
",
"which tree traversal does the following order of operations:1_ Process the node in the left sub-tree2_ Process the node in the right sub-tree3_ Process the current node
","In-Order Traversal
","Post-Order Traversal
","Pre-Order Traversal
","Level order traversal
",,"For more information check week 7b slides
",
"Which of the following is a False statement for Shell Sort?
","It is based on H-sort
","The last step is always a Bubble sort
","Worst case worst gap sequence complexity is O(n^2)
","Shell sort is a ""stable"" sort.
",,"See Week 5a powerpoint.Shell sort is not stable as elements can ""jump"" over elements with the same value
",
"Which of the following inputs makes mergesort in ascending order perform the largest numberof comparisons?
","2,1,4,3
","1,2,3,4
","3,4,1,2
","3,1,2,4
",,"D -Takes one more comparison compared to the rest.
",
"Consider the following AVL tree:After inserting the value 7, what sequence of rotations would be required to rebalance the tree?(The subtrees at which rotations are applied are left unspecified)
","Left rotation.
","Right rotation.
","A left rotation, then a right rotation.
","A right rotation, then a left rotation.
","No rotations required.
","The value 7 would be inserted as 6's right child. This causes 8 to have a balance factor of -2, meaning its left subtree is two nodes higher than its right subtree (which is empty). The 8 subtree must be rebalanced.We cannot perform any left rotations at node 8 because it has no right child to take its place.A right rotation at 8 gives the following tree, which is symmetrically as unbalanced as before:To properly balance the tree, we must first perform a left rotation at node 6 followed by a right rotation at node 8, as shown in the following two trees:The final tree is now balanced (node 4 has a balance factor of 1, node 7 has a balance factor of 0).
",
"Let p and q be primes such that p*q = N and p != q.If (p-1)(q-1) = 36What is N?
","N = 3
","N = 56
","N = 57
","N = 70
","N = 30
","p = 3 and q = 19 so 3*19 = 57
",
"This adjacency matrix shows who is friends with who.Which node has the most friends?
","1
","2
","3
","4
","None
","Node 1: has 2 friendsNode 2: has 1 friendNode 3: has 0 friendsNode 4: has 1 friend
",
"What doesSystem.currentTimeMillis() measure?
","The number of secondssince 1 Jan 1970.
","The number of milliseconds since 1 Jan 1970.
","The number of nanoseconds in this Java Virtual Machine since whenever.
","The number of seconds since 1 Jan 2000.
","The number of milliseconds since 1 Jan 2000.
","Solution: Week 1(b) Slide 2 2019
",
"What is 413 mod 7?
","0
","1
","2
","4
","5
","Application of Fermat's Little Theorem 2019 Lectures - Week 11b - Slide 12. p = 7, k = 1 mod 6, x = 4.
",
"Which is a better way to represent a graph (in terms of memory storage) if you had lots of edges but few vertices?
","Adjacency list
","Adjacency matrix
","planation: Powerpoint: ""graphs1TF"" - Slide 17
","gs: Graphs
",,,"lm889 (lm889)
"
"A certain quadratic time algorithm uses 4 elementary operations to process an input of size 10.What is the most likely number of elementary operations it will use if given an input of size100?
","40
","400
","4000
","4
",,"Since the time algorithm is quadratic and you have increase the input size by 10. The number of elemtary operations is multiplied by 10^2 = 100. Thus, 4 * 100 = 400.
",
"An algorithm has runtime T(n)=n^2+ n^3+ 55n+108 + 0.0025n^5 for input of size n. Whatis the asymptotic time complexity of this algorithm?
","O(n^4)
","?(n^5)
","O(n^2)
","?(n^3)
",,"The greatest power in the time complexity is n^5.
",
"What are the leaves of a perfectly balanced binary tree when you enter numbers in order: 10,8,6,2,11,100,7
","2,6,11,100
","2,7,11,100
","2,8,10,100
","2,7,10,100
",,"Root = 8Children of 8 = 6 11Children of 6 = 2 7Children of 11 = 10 100Therefore leaves are 2,7,10,100
",
"Consider the following skip list. If we were to insert a node with value ""Cameron"" which has 4 lanes and insert a node with value ""Diego"" which has 2 lanes. What does the skip list look like now?
","
","
","
","
",,"Refer to lecture week 3b slide 17. ""Cameron"" comes between Barry and Derek alphabetically and has 4 lanes so must have four elements in its pointer array. ""Diego"" comes between Derek and Edgar alphabetically and has two lanes so must have two elements in its pointer array. The number of lanes for other nodes must stay the same.
",
"Suppose you have an AVL tree storing elements in alphabetical order.Out of the following binary tree traversals, which will output the tree elements in alphabetical order?
","Pre-order traversal
","In-order traversal
","Post-order traversal
","Level-order/Breadth-first traversal
",,"For each node in the tree, in-order traversal first processes the nodes in the left sub-tree (less than the current node), then the current node, then finally the nodes in the right sub-tree (greater than the current node).
",
"Which matrix represents the nodes which can be traversed to in 2 steps on the following graph?
","
","
","
","
",,"C is the adjacency matrix. Multiplying it by itself gives those nodes that are 2 paths apart (answer A), with the number '2' representing 2 different ways of getting from one node to another in 2 steps.B shows the nodes 3 steps apart (multiplying the adjacency matrix by itself 3 times gives this result)D shows the correct matrix but with the '2's replaced by '1's
",
"Place the following algorithms in order of most to least efficient when dealing with around 10,000 items:A: Bubble sortB: Quick sortC: Bucket sortConsider the average case complexities.
","ABC
","CBA
","BAC
","ACB
","BCA
","Bubble sort: O(n2)Quick sort: O(nlogn)Bucket sort: O(n + k), where k is the number of bucketsInterestingly, will much more data, 'clustering' can occur, meaning that many items are put into the same bucket and thus can take longer, hence the specified amount of data.https://smartbear.com/blog/develop/bucket-sort-vs-quick-sort-which-is-faster-aqtime-b/ is an interesting read :)
",
"Here is some code given in lectures:What line will need to go at X to print the time taken for MyClass.m() to run?
","System.out.println(end);
","System.out.println(end-start);
","System.out.println(start)
","System.nanoTime();
","System.out.println(System.nanoTime());
","See slide 4 week 1b
",
"Is the following tree a valid AVL tree?
","Yes
","No
","planation: Although the root node is balanced, its children are not.
","gs: Trees
",,,"moi21 (moi21)
"
"Given the incomplete Java code for the classes DoublyLinkedList and ListNode2:class ListNode2 { Object element; ListNode2 prev = null; ListNode2 next = null;ListNode2(Object e, ListNode2 p, ListNode2 n) { element = e; prev = p; next = n;}}class DoublyLinkedList { private ListNode2 head = null; private ListNode2 tail = null; private int n = 0;//other methods from DoublyLinkedList commented outpublic void insert(Object o, int i) { if (i < 0 || i > n) { System.out.println(""i value out of bounds""); }ListNode2 node = head; for (int j = 0; j < i - 1; j++) { node = node.next; }node.next = new ListNode2(o, node, node.next);Xif (i == n) { tail = node.next;}n++;}The insert method is used to insert object o in doubly linked list at ith position as seen in coursework 2. Which code must go at the place marked with X for the method to work correctly?
","if (node.next.next != null) {node.next.next.prev=node.next;}
","if (node.next.next != null) {node.next.prev=node.next;}
","if (node.next.prev != null) {node.next.next.prev=node.next;}
","nothing
",,"We need to make sur node.next.next is not null in order to adjust node.next.next.prev, making the list go both ways
",
"Given the following numbers 58, 4, 102, 13, 27, 99, 1, arrange them in a complete balanced binary search tree. Which of the following is the preordered traversal of the tree?
","27,4,1,13,99,58,102
","1,4,13,27,58,99,102
","27,4,99,1,13,58,102
","27,99,102,58,4,13,1
","none of the above
","pre-order traversal consists of processing the current node's value out, then processing to nodes in left subtree and then processing the nodes in the right subtree.
",
"Which of the following statements from a to d about array lists is FALSE? If none of them is false, choose option e.
","There exists an index i anywhere in the array list such that removing at that index takes a complexity of .
","The worst case to insert an element anywhere in a non-full array list without resizing takes a time complexity of O(log n).
","The worst case of removing an element from the array list is always slower than to get an element in the same list.
","Array lists are an example of ADT.
","None of the statements above is false.
","The worst case to insertan element anywhere in a non-full array list without resizing takes .
",
"What is the worst case run time complexity of selection sort?
","O(n^3)
","O(nlog(n^2))
","O(nlog(n))
","O(n^2)
","O(nlog(log(log(n^5))))
","All cases of selection sort are O(n^2)
",
"In a real world application when would you use a linked list over an array list?
","When every you are going to be inserting into the middle of the list no matter the size of the list
","When every you are going to be inserting into the middle of the list and the list is small
","When every you are going to be inserting into the middle of the list and the list is large
","If the list requires frequent access to items in the centre of the list
","When the order of items in the list does not matter
","For most applications an array list will be the way to go even if insertion into the centre of the list is frequent. This is because a lot of programming languages have blazing fast array copying operations such as java's System.arraycopy. This means the overhead from iteration over the list in a linked list is not outweighed by cost of copying the array in an array list for most cases. For this reason a list has to be large before any performance benefit can be noticed when using a linked list over an array list and inserting into the middle.
",
"Finish the sentence correctly:An AVL tree is a ...
","a tree which is balanced and is a height balanced tree
","immutable object once initialised
","a tree which is unbalanced and is a height balanced tree
","a tree with each node having atmost 3 children
",,"An AVL tree is a self balancing binary tree with height difference of at most 1.
",
"Which of the following statements about linked lists is true?
","Linked list lets you add an element at the start of the array with cost ?(1)
","inserting elements anywhere between the head and the tail of the linked list requires every element to be shifted by 1 on the right
","linked lists support random access for every element with index i
","removing elements anywhere between the head and the tail of the linked list requires every element to be shifted by 1 on the left
",,"For reference check week 3b slides.
",
"Which of the following statement is not true?
","If an array has been recently sorted, insertion sort will have ?(n)
","Stooge sort is faster than Merge sort
","Selection sort is not a stable sorting algorithm
","If an array has been already sorted and the pivot chosen is the first element of the array, Quick sort will have?(n^2)
","Whatever is the case, the runtime of selection sort will be?(n^2)
","For more information, check week 4b/8 and the other slides regarding sorting
",
"In the worst case scenario, what is the big-o of insertion sort?
","T(N^3)
","T(N)
","T(N^2)
","T(NlogN)
",,"Refer to week 4a ppt slide 16 for more info
",
"Consider the following binary tree, which of the following traversal is true? 15 / \ 7 19 / \ / \ 6 8 16 21
","Preorder: 6,7,8, 15, 16,19,21.Postorder: 15,7,6,8,19,16,21.Inorder: 6,8,7,16,21,19,15.
","Preorder: 15,7,6,8,19,16,21.Postorder: 6,7,8, 15, 16,19,21.Inorder: 6,8,7,16,21,19,15.
","Preorder: 6,8,7,16,21,19,15.Postorder: 15,7,6,8,19,16,21.Inorder: 6,7,8, 15, 16,19,21.
","Preorder: 15,7,6,8,19,16,21.Postorder: 6,8,7,16,21,19,15.Inorder: 6,7,8, 15, 16,19,21.
","None of the above.
","Lecture note week7b trees orhttps://www.tutorialspoint.com/data_structures_algorithms/tree_traversal.htm
",
"Linked List vs Array List comparison.Which of the following is false?
","It is faster to remove an item from the middle of a linked list than from the middle of an array.
","It is faster to insert a new item at the front of a linked list than an array.
","It is faster to get to the 700th item in an array than linked list.
","None of the above is wrong.
",,"The answer is D because none of the above is wrong.A is correct because we can just change the reference of the nodes to remove the node containing the item to be removed in a few steps, while we have to remove the item in an array, then shift all the following items left one slot.B is correct because we can once again insert a new item at the front of the linked list by changing the references to the items, while we have to shift all the n items in an array right one slot.C is correct because we can get to any item in an array in 1 step, while we have to pass through 699th nodes to reach the 700th node in a list.
",
"Find the Bound Challenge! (What is the average run time of the function below)int count = 0;void foo(){ for (int i = 0; i <n; i++) for(int j = 0; j < 100*n; j++) for(int k = 0; k < n*m; k++) count++}
","
","
","
","
","None of the above.
","Lecture noteWeek2b-Powerpointon moodle page 22,23. (Find the Bound challenge)First for loop has runtime nSecond for loop has runtime 100nThird for loop has runtime n*mHence we get the average time complexity
",
"A user on Stack Overflow has asked you to fudge his coursework to work.His assignment is to make a class, with a method that reverses an array.He gave you the incomplete code in Java.Which code would you suggest him to put instead of a? for the method to work?
","
","
","
","
",,"Function reverse takes the array as a parameter.Inside the function, a new array (size of the original array) is initialised. The original array is iterated from the first element (i = 0) and each element of it(i < n; i++) is placed in the new array, starting from the back.
",
"Honda vs Lamborghini pt 4if you haven't answered part 1-3 of this question please do so first:part 1: https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4250213part 2: https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4250257part 3: https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4250259Having received information and payment from a client about a new target the hitman must now attempt to kill his target. The target is having a press conference about their recent success. Looking at his route (lengths given in minutes) and using Djikstra's shortest path algorithm, what is the minimum time it will take him to get from his home at C to the conference at E?
","8
","9
","5
","6
","4
","The shortest path is C>A>B>E so the minimum time needed is 5 minutes
",
"Honda vs Lamborghini pt 3if you havent answered part 1 or two of this question please do so first:part 1: https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4250213part 2: https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4250257Having decided on the hitman with the best value for money they now need to communicate with him. But they need to use a cypher to do so. They decide to use a Ceasar shift with key 8. Code the following message to send to the hitman:CEO OF HONDA
","NPZ ZQ SZYOL
","KBW WN PWAWL
","KMW WN PWVLI
","KMW HY AHGWT
",,"The Ceasar shift cypher shifts each letter by a key. In this examble the key is 8 so A -> I and B -> J and so on.
",
